Food_type,England,Wales,Scotland,N_Ireland
Alcoholic_drinks,375,475,458,135
Beverages,57,73,53,47
Carcass_meat,245,227,242,267
Cereals,1472,1582,1462,1494
Cheese,105,103,103,66
Confectionery,54,64,62,41
Fats_and_oils,193,235,184,209
Fish,147,160,122,93
Fresh_fruit,1102,1137,957,674
Fresh_potatoes,720,874,566,1033
Fresh_Veg,253,265,171,143
Other_meat,685,803,750,586
Other_Veg,488,570,418,355
Processed_potatoes,198,203,220,187
Processed_Veg,360,365,337,334
Soft_drinks,1374,1256,1572,1506
Sugars,156,175,147,139
